hour; freq
-0.007587253414265582; 0.9474339035769828
1.024279210925645; 0.8942457231726282
2.0106221547799707; 0.9493001555209952
3.0121396054628224; 0.9866251944012441
4.044006069802736; 0.9567651632970451
5.045523520485586; 0.9418351477449456
6.047040971168439; 0.9493001555209952
7.033383915022766; 0.9912908242612752
9.036418816388467; 0.7869362363919128
10.037936267071322; 0.8279937791601866
11;nan
12;nan
13;nan
14.044006069802736; 0.7113530326594091
15.060698027314116; 0.8569206842923794
16.062215477996972; 0.8027993779160186
17.06373292867982; 0.87651632970451
18.095599393019725; 0.9437013996889579
19.051593323217; 0.9175738724727838
20.037936267071323; 0.9166407465007775
21.06980273141123; 0.9399688958009331
22.086494688922613; 0.8877138413685847
23.088012139605468; 0.8625194401244167
