hour; freq
-0.037936267071320806; 0.8279937791601866
1.0091047040971146; 0.7990668740279937
2.01062215477997; 0.8429237947122861
2.981790591805762; 0.8195956454121306
3.9681335356600904; 0.7757387247278382
5.015174506828528; 0.7169517884914463
6.016691957511382; 0.7150855365474339
7.003034901365716; 0.7496111975116639
8.01972685887709; 0.7692068429237946
9.02124430955994; 0.614307931570762
10.007587253414268; 0.6124416796267497
11;nan
12;nan
13;nan
14.04400606980274; 0.5601866251944015
15.045523520485586; 0.67402799377916
16.031866464339913; 0.7402799377916018
17.033383915022767; 0.8233281493001556
18.034901365705622; 0.8578538102643856
19.03641881638847; 0.8587869362363918
20.022761760242794; 0.829860031104199
21.054628224582707; 0.8251944012441679
22.040971168437025; 0.7953343701399689
23.05766312594841; 0.7804043545878694
